Database,Table,Column
test,employees_salaries,Payment_Amount
test,employees_salaries,Payment_ID
test,employees_salaries,Employee_id
test,employees_salaries,batch_id
test,employees_salaries,Payment_Date
test,employees_data,Mobile
test,employees_data,Job_Title
test,employees_data,Birth_Governorate
test,employees_data,Nationality
test,employees_data,label1
test,employees_data,label2
test,employees_data,batch_id
test,employees_data,Death_Date
test,employees_data,Address
test,employees_data,Name
test,employees_data,Employee_ID
test,employees_data,Address_City
test,employees_data,Gender
test,employees_data,Phone
test,employees_data,National_ID
