DATABASE,TABLE,COLUMN,DATA_TYPE,NULLABLE,CONSTRAINT_TYPE,REFERENCE_TABLE_NAME,REFERENCE_COLUMN_NAME
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PSCITIZENFULLNAMESEARCH,VARCHAR(200) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PSGISGOVERNORATECODEBIRTHDATE,VARCHAR(2) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PSCITIZENJOBTITLE,VARCHAR(100) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PSCITIZENMOBILE,VARCHAR(15) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PNCITIZENCODE,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PNCOUNTRYCODENATIONAL,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PNGENDERCODE,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PNMARITALSTATUSCODE,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PNEDUCATIONCODE,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PNEDUCATIONTYPECODE,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PDCITIZENDEATHDATE,TIMESTAMP(6),Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,DLASTDMLDATE,TIMESTAMP(6),Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,FDELETE,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,DATA_EXTRACTION_DATE,TIMESTAMP(6),N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,LOAD_ID,VARCHAR(60) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,MODIFIACTION_TYPE,VARCHAR(4) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,IS_TRANSFERRED,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,BATCH_ID,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,REF_KEY,BIGINT,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PDCITIZENBIRTHDATE,TIMESTAMP(6),Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PSCITIZENPASSPORTNO,VARCHAR(20) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PSCITIZENFAMILYNAME,VARCHAR(50) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PSCITIZENMIDDLENAME,VARCHAR(50) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PSCITIZENFIRSTNAME,VARCHAR(50) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PNUSERCODE,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PSCITIZENEMAIL,VARCHAR(50) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PSCITIZENNATIONALID,VARCHAR(14) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PSCITIZENFULLNAME,VARCHAR(200) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZEN,PSCITIZENLASTNAME,VARCHAR(50) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERFULLNAMESEARCH,VARCHAR(200) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERMOTHERFULLNAME,VARCHAR(200) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERMOTHERFULLNAMESEARCH,VARCHAR(200) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSGISGOVERNORATECODEBIRTHDATE,VARCHAR(2) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSGISGOVERNORATECODEFOUND,VARCHAR(2) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSGISPOLICESTATIONCODEFOUND,VARCHAR(4) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSGISDISTRICTCODEFOUND,VARCHAR(6) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERLINFO,VARCHAR(500) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERPOLICEREPORTNO,VARCHAR(50) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERPOLICERESOLUTIONNO,VARCHAR(50) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSGISPOLICESTATIONCODEENTRUST,VARCHAR(4) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERDEATHREASONS,VARCHAR(100) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERFAMILYHANDOVERCITIZENNAME,VARCHAR(100) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERFAMILYHANDOVERCITIZENNID,VARCHAR(14) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNCITIZENKIDDISCOVERCODE,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNCOUNTRYCODENATIONAL,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNGENDERCODE,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PDCITIZENKIDDISCOVERBIRTHDATE,TIMESTAMP(6),N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNCITIZENKIDDISCOVERAGE,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNDISEASECODE,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNHANDICAPCODE,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNEDUCATIONTYPECODE,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PFCITIZENKIDDISCOVERFAMILYDISASSEMBLE,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PDCITIZENKIDDISCOVERFAMILYDISASSEMBLEENTRUSTDATE,TIMESTAMP(6),Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PDCITIZENKIDDISCOVERDATEFOUND,TIMESTAMP(6),Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PDCITIZENKIDDISCOVERPOLICEREPORTDATE,TIMESTAMP(6),Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNMINISTRIECODEENTRUST,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNSOCIALGOVERNORATECODEENTRUST,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNSOCIALDEPARTMENTCODEENTRUST,BIGINT,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNSOCIALORPHANGECODEENTRUST,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNHEALTHCARECENTERCODEENTRUST,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PDCITIZENKIDDISCOVERDEATHDATE,TIMESTAMP(6),Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PDCITIZENKIDDISCOVERFAMILYHANDOVERDATE,TIMESTAMP(6),Y, , , 
