DATABASE,TABLE,COLUMN,DATA_TYPE,NULLABLE,CONSTRAINT_TYPE,REFERENCE_TABLE_NAME,REFERENCE_COLUMN_NAME
test,employees_salaries,Payment_Amount,VARCHAR(9),Y, , , 
test,employees_salaries,Payment_ID,INTEGER,Y, , , 
test,employees_salaries,Employee_id,BYTEINT,Y,FK,employees_data,Employee_ID
test,employees_salaries,batch_id,INTEGER,Y, , , 
test,employees_salaries,Payment_Date,VARCHAR(15),Y, , , 
test,employees_data,Mobile,VARCHAR(32),Y, , , 
test,employees_data,Job_Title,VARCHAR(20),Y, , , 
test,employees_data,Birth_Governorate,VARCHAR(12),Y, , , 
test,employees_data,Nationality,VARCHAR(9),Y, , , 
test,employees_data,label1,BYTEINT,Y, , , 
test,employees_data,label2,BYTEINT,Y, , , 
test,employees_data,batch_id,INTEGER,Y, , , 
test,employees_data,Death_Date,VARCHAR(16),Y, , , 
test,employees_data,Address,VARCHAR(21),Y, , , 
test,employees_data,Name,VARCHAR(23),Y, , , 
test,employees_data,Employee_ID,BYTEINT,Y,PK, , 
test,employees_data,Address_City,VARCHAR(10),Y, , , 
test,employees_data,Gender,VARCHAR(6),Y, , , 
test,employees_data,Phone,VARCHAR(12),Y, , , 
test,employees_data,National_ID,VARCHAR(14),Y, , , 
