,DATABASE,TABLE,COLUMN,DATA_TYPE,NULLABLE,CONSTRAINT_TYPE,REFERENCE_TABLE_NAME,REFERENCE_COLUMN_NAME
26,TD_DBC,employee_info,Gender,VARCHAR(1),Y, , , 
27,TD_DBC,employee_info,MotherName,VARCHAR(19),Y, , , 
28,TD_DBC,employee_info,MotherMaidenName,VARCHAR(10),Y, , , 
29,TD_DBC,employee_info,DateofBirth,DATE,Y, , , 
30,TD_DBC,employee_info,Age_in_Yrs,DECIMAL(4*/2),Y, , , 
31,TD_DBC,employee_info,Weight_in_Kgs,BYTEINT,Y, , , 
32,TD_DBC,employee_info,batch_id,INTEGER,Y, , , 
33,TD_DBC,employee_info,Data_extraction_date,DATE,Y, , , 
34,TD_DBC,employee_info,FatherName,VARCHAR(18),Y, , , 
35,TD_DBC,employee_info,MiddleInitial,VARCHAR(1),Y, , , 
36,TD_DBC,employee_info,NamePrefix,VARCHAR(5),Y, , , 
37,TD_DBC,employee_info,EmpID,INTEGER,Y, , , 
38,TD_DBC,employee_info,TimeofBirth,VARCHAR(11),Y, , , 
39,TD_DBC,employee_info,EMail,VARCHAR(32),Y, , , 
40,TD_DBC,employee_info,LastName,VARCHAR(10),Y, , , 
41,TD_DBC,employee_info,FirstName,VARCHAR(11),Y, , , 
